Case,Year,Month,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
101,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Orange,13,14,0.87,Farallones Marine Sanctuary Association
102,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Orange,11,20,0.52,Farallones Marine Sanctuary Association
103,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Orange,18,15,0.61,FMSA LiMPETS Teacher Workshop
104,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Purple,45,14,2.91,FMSA LiMPETS Teacher Workshop
105,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Purple,47,20,0.56,FMSA LiMPETS Teacher Workshop
106,2011,Aug,Natural Bridges,36.9502,-122.0576,y,Purple,28,15,0.5,FMSA LiMPETS Teacher Workshop
107,2011,Aug,Pillar Point,37.503,-122.4823,y,Orange,8,40,1.11,FMSA LiMPETS Teacher Workshop
108,2011,Aug,Pillar Point,37.503,-122.4823,y,Purple,38,40,0.8,FMSA LiMPETS Teacher Workshop
109,2011,Oct,Natural Bridges,36.9502,-122.0576,y,Orange,30,60,0.77,Farallones Marine Sanctuary Association
110,2011,Oct,Natural Bridges,36.9502,-122.0576,y,Orange,27,60,3.83,Farallones Marine Sanctuary Association
111,2011,Oct,Natural Bridges,36.9502,-122.0576,y,Purple,60,60,0.84,Aptos High School
112,2011,Oct,Natural Bridges,36.9502,-122.0576,y,Purple,43,60,3.52,Aptos High School
113,2011,Oct,Pillar Point,37.503,-122.4823,y,Orange,10,30,1.5,Aptos High School
114,2011,Oct,Pillar Point,37.503,-122.4823,y,Purple,50,30,0.2,Aptos High School
115,2011,Nov,Pillar Point,37.503,-122.4823,y,Orange,11,20,1.69,The Urban School
116,2011,Nov,Pillar Point,37.503,-122.4823,y,Purple,46,20,5.13,The Urban School
117,2011,Dec,Davenport Landing,37.0248,-122.2156,n,Purple,15,20,0.69,Drew School
118,2011,Dec,Davenport Landing,37.0248,-122.2156,n,Orange,2,20,1.53,Drew School
119,2012,Jan,Pillar Point,37.503,-122.4823,y,Orange,22,36,0.77,UCSC
120,2012,Jan,Pillar Point,37.503,-122.4823,y,Purple,67,36,0.54,UCSC
121,2012,Feb,Pillar Point,37.503,-122.4823,y,Orange,9,13,0.46,Farallones Marine Sanctuary Association
122,2012,Feb,Pillar Point,37.503,-122.4823,y,Purple,20,13,1.92,Farallones Marine Sanctuary Association
123,2012,May,Pillar Point,37.503,-122.4823,y,Orange,10,9,1.23,June Jordan School for Equity
124,2012,May,Pillar Point,37.503,-122.4823,y,Orange,7,15,1.15,June Jordan School for Equity
125,2012,May,Pillar Point,37.503,-122.4823,y,Orange,6,22,0.3,SFSU
126,2012,May,Pillar Point,37.503,-122.4823,y,Purple,25,9,0.18,SFSU
127,2012,May,Pillar Point,37.503,-122.4823,y,Purple,16,15,1.2,The Urban School
128,2012,May,Pillar Point,37.503,-122.4823,y,Purple,15,22,0.72,SFSU
129,2012,May,Pigeon Point,37.1829,-122.3928,n,Orange,5,20,1.1,SFSU
