,Case,Date,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
120,120,1/19/2012,Pillar Point,37.503,122.4823,y,Purple,67,36,0.54,UCSC
121,121,2/16/2012,Pillar Point,37.503,122.4823,y,Orange,9,13,0.46,Farallones Marine Sanctuary Association
122,122,2/16/2012,Pillar Point,37.503,122.4823,y,Purple,20,13,1.92,Farallones Marine Sanctuary Association
123,123,5/11/2012,Pillar Point,37.503,122.4823,y,Orange,10,9,1.23,June Jordan School for Equity
124,124,5/11/2012,Pillar Point,37.503,122.4823,y,Orange,7,15,1.15,June Jordan School for Equity
125,125,5/11/2012,Pillar Point,37.503,122.4823,y,Orange,6,22,0.3,SFSU
126,126,5/11/2012,Pillar Point,37.503,122.4823,y,Purple,25,9,0.18,SFSU
127,127,5/11/2012,Pillar Point,37.503,122.4823,y,Purple,16,15,1.2,The Urban School
128,128,5/11/2012,Pillar Point,37.503,122.4823,y,Purple,15,22,0.72,SFSU
129,129,5/12/2012,Pigeon Point,37.1829,122.3928,n,Orange,5,20,1.1,SFSU
130,130,5/12/2012,Pigeon Point,37.1829,122.3928,n,Orange,3,15,0,The Urban School
131,131,5/12/2012,Pigeon Point,37.1829,122.3928,n,Purple,20,20,0.31,James Logan High School
132,132,10/12/2012,Pigeon Point,37.1829,122.3928,n,Purple,12,15,0.3,James Logan High School
133,133,10/15/2012,Davenport Landing,37.2364,86.92,n,Purple,11,30,1.15,James Logan High School
134,134,10/15/2012,Davenport Landing,37.2364,86.92,n,Orange,0,30,1.46,James Logan High School
135,135,10/15/2012,Pillar Point,37.503,122.4823,y,Orange,4,17,2.3,UCSC
136,136,12/15/2012,Pillar Point,37.503,122.4823,y,Purple,30,17,4.06,UCSC
137,137,12/10/2012,Pillar Point,37.503,122.4823,y,Orange,15,15,1.76,The Urban School
138,138,12/10/2012,Pillar Point,37.503,122.4823,y,Orange,19,17,2.76,The Urban School
139,139,12/10/2012,Pillar Point,37.503,122.4823,y,Purple,30,15,4.37,Berkely High School
140,140,12/10/2012,Pillar Point,37.503,122.4823,y,Purple,53,17,3.68,Berkely High School
141,141,12/11/2012,Pillar Point,37.503,122.4823,y,Orange,23,20,0.7,Berkely High School
142,142,12/11/2012,Pillar Point,37.503,122.4823,y,Orange,36,13,0.2,Berkely High School
143,143,12/11/2012,Pillar Point,37.503,122.4823,y,Purple,57,20,0.61,Berkely High School
144,144,12/11/2012,Pillar Point,37.503,122.4823,y,Purple,48,13,2.99,Berkely High School
145,145,12/14/2012,Davenport Landing,37.2364,86.92,n,Purple,7,10,0.35,Berkely High School
146,146,12/14/2013,Davenport Landing,37.2364,86.92,n,Orange,2,10,1.85,Berkely High School
147,147,4/1/2013,Pillar Point,37.503,122.4823,y,Orange,8,28,1,UCSC
